seed,PL_dispersal,capacity,habitat_width,sigma,kernel_exponent,mean_distance,sd_distance,max_distance,excess_kurtosis
23543,TRUE,10,50,0.2,5,0.20463,0.0980213,1.32399,3.20662
24199,TRUE,10,50,0.2,5,0.203538,0.0982948,1.81851,6.9397
27379,TRUE,10,50,0.2,5,0.205037,0.0962703,1.04755,1.62024
4285,FALSE,10,50,0.2,1,0.316637,0.138283,1.02645,0.49198
43378,TRUE,10,50,0.2,5,0.203166,0.0966192,0.984402,1.50943
17535,TRUE,10,50,0.2,5,0.204117,0.09481,0.858042,0.790471
4843,TRUE,10,50,0.2,5,0.202985,0.0975826,1.72507,5.71257
10240,TRUE,10,50,0.2,5,0.203579,0.097264,1.56134,5.2782
10741,TRUE,10,50,0.2,5,0.203674,0.09849,1.98182,8.33497
32774,TRUE,10,50,0.2,5,0.204431,0.0961877,1.00671,1.49335
4002,TRUE,10,50,0.2,5,0.205202,0.0971503,1.47947,3.6145
23587,TRUE,10,50,0.2,5,0.204079,0.0973128,1.14351,2.61745
5350,TRUE,10,50,0.2,5,0.204779,0.0964232,1.11424,1.88968
42837,TRUE,10,50,0.2,5,0.202891,0.0959335,1.01963,2.11196
10180,FALSE,10,50,0.2,1,0.317226,0.138195,1.04778,0.405702
17431,FALSE,10,50,0.2,1,0.314694,0.136291,1.12539,0.400396
62007,TRUE,10,50,2,5,1.97489,0.896373,12.6011,2.44495
38536,TRUE,10,50,2,5,1.96112,0.892196,8.45705,0.988911
54444,TRUE,10,50,2,5,1.97269,0.903374,15.2031,5.1813
57936,TRUE,10,50,2,5,1.97302,0.908611,13.9985,4.65958
38933,TRUE,10,50,2,5,1.96097,0.891935,13.5289,2.85277
21734,TRUE,10,50,2,5,1.97571,0.896703,10.5397,1.74557
20473,TRUE,10,50,2,5,1.955,0.878936,10.3522,1.49463
4969,TRUE,10,50,2,5,1.96643,0.896097,11.9849,2.06968
11865,TRUE,10,50,2,5,1.96445,0.88625,11.7228,1.7853
39252,TRUE,10,50,2,5,1.9602,0.896611,19.2818,7.21877
27649,FALSE,10,50,0.2,1,0.316836,0.138075,1.14174,0.432007
15719,TRUE,10,50,2,5,1.97698,0.895737,9.19182,1.17256
39877,TRUE,10,50,2,5,1.97375,0.884809,8.31956,1.001
45219,TRUE,10,50,2,5,1.96128,0.888545,11.8044,1.44673
20700,TRUE,10,50,2,5,1.9704,0.890978,9.1052,1.37255
27171,TRUE,10,50,2,5,1.96391,0.890587,10.5963,1.63893
54441,TRUE,10,50,2,5,1.96546,0.895922,9.77792,1.71706
13653,TRUE,10,50,2,5,1.9674,0.901863,10.4098,1.5668
2395,TRUE,10,50,2,5,1.96097,0.899326,15.1892,5.44942
50699,TRUE,10,50,2,5,1.97864,0.901316,9.94787,1.5433
5564,TRUE,10,50,2,5,1.97489,0.891338,9.31362,1.33409
17940,FALSE,10,50,0.2,1,0.316409,0.137343,1.0554,0.303967
32570,TRUE,10,50,2,5,1.97253,0.90956,19.6708,12.766
29571,TRUE,10,50,2,5,1.96225,0.892962,12.5585,2.03252
59269,TRUE,10,50,2,5,1.97112,0.894167,8.71293,1.6126
34347,TRUE,10,50,2,5,1.96293,0.894712,10.979,2.09428
64527,TRUE,10,50,2,5,1.96756,0.893834,9.61221,1.33764
52653,TRUE,10,50,2,5,1.96913,0.896645,10.3182,2.01555
10717,TRUE,10,50,2,5,1.96533,0.888068,8.67148,1.17373
28359,TRUE,10,50,2,5,1.96987,0.893003,10.0448,1.31309
64227,TRUE,10,50,2,5,1.95801,0.883201,10.832,1.49681
12015,TRUE,10,50,2,5,1.97575,0.899497,10.6528,2.14644
40468,FALSE,10,50,0.2,1,0.31469,0.136383,1.0252,0.440107
61563,TRUE,10,50,2,5,1.97144,0.895543,18.6469,6.92536
54881,TRUE,10,50,2,5,1.96752,0.893189,9.91855,1.77538
49894,TRUE,10,50,2,5,1.96674,0.883504,9.09914,1.27115
19922,TRUE,10,50,2,5,1.96123,0.879647,8.89167,1.19079
42020,TRUE,10,50,2,5,1.97374,0.893797,8.82641,1.08309
7844,TRUE,10,50,2,5,1.97739,0.89525,14.0106,3.27763
53633,TRUE,10,50,2,5,1.96986,0.891754,8.95309,1.39591
18848,TRUE,10,50,2,5,1.97351,0.893627,7.80608,1.01107
65246,TRUE,10,50,2,5,1.96564,0.89093,8.53146,1.03933
61460,TRUE,10,50,2,5,1.96679,0.893014,11.42,2.69107
47846,FALSE,10,50,0.2,1,0.316209,0.136674,1.0764,0.352463
38261,TRUE,10,50,2,5,1.97235,0.889308,12.1135,2.88616
37570,TRUE,10,50,2,5,1.97933,0.893943,10.027,1.25576
8593,TRUE,10,50,2,5,1.96918,0.916082,25.3505,21.3246
16494,TRUE,10,50,2,5,1.97129,0.894622,9.13352,1.71925
33169,TRUE,10,50,2,5,1.96707,0.886194,13.3115,2.22754
53957,TRUE,10,50,2,5,1.97416,0.891698,10.8913,2.10062
13720,TRUE,10,50,2,5,1.96925,0.895702,10.9168,1.78917
30366,TRUE,10,50,2,5,1.97089,0.893374,8.62581,1.28383
9414,TRUE,10,50,2,5,1.97335,0.890419,7.86796,1.1815
65289,TRUE,10,50,2,5,1.97135,0.89171,10.598,1.46565
17900,FALSE,10,50,0.2,1,0.314099,0.136181,1.05164,0.443793
43025,TRUE,10,50,2,5,1.975,0.895857,14.0121,2.64179
28498,TRUE,10,50,2,5,1.95732,0.886728,10.2668,1.42073
58482,TRUE,10,50,2,5,1.96988,0.901711,13.6011,3.17111
1042,TRUE,10,50,2,5,1.97105,0.888442,11.2172,1.53055
434,TRUE,10,50,2,5,1.97289,0.887425,9.75595,1.48097
30478,TRUE,10,50,2,5,1.96903,0.892826,11.2179,2.14341
51022,TRUE,10,50,2,5,1.97253,0.899458,8.77383,1.357
32013,TRUE,10,50,2,5,1.96953,0.896301,8.70046,1.37141
65387,TRUE,10,50,2,5,1.96744,0.896416,11.3207,1.92017
27874,TRUE,10,50,2,5,1.97491,0.89991,10.4321,1.68128
61876,FALSE,10,50,0.2,1,0.315969,0.137068,1.01957,0.391492
41011,TRUE,10,50,2,5,1.9713,0.892323,10.0619,1.27521
26738,TRUE,10,50,2,5,1.96448,0.892229,10.4257,1.97096
9732,TRUE,10,50,2,5,1.96939,0.896399,13.4581,2.14299
49267,TRUE,10,50,2,5,1.97627,0.896881,11.1297,2.78519
56315,TRUE,10,50,2,5,1.96685,0.890143,11.4054,1.79605
10157,TRUE,10,50,2,5,1.9725,0.906752,10.569,2.17382
9334,TRUE,10,50,2,5,1.97228,0.906254,10.6566,1.79961
21534,TRUE,10,50,2,5,1.95673,0.885952,8.87685,1.14993
5489,TRUE,10,50,2,5,1.96937,0.905051,9.85661,1.70069
37706,TRUE,10,50,2,5,1.95845,0.890557,10.9279,2.233
46348,FALSE,10,50,0.2,1,0.314789,0.136611,0.966222,0.372425
8742,TRUE,10,50,2,5,1.97802,0.899499,9.1492,1.49556
10805,TRUE,10,50,2,5,1.9702,0.88463,8.08881,0.950738
33672,TRUE,10,50,2,5,1.96391,0.892299,9.88411,1.46255
60314,TRUE,10,50,2,5,1.96265,0.897094,10.3659,2.35013
27440,TRUE,10,50,2,5,1.96059,0.891648,13.3648,2.8736
36336,TRUE,10,50,2,5,1.97233,0.898698,12.1566,3.00854
56241,TRUE,10,50,2,5,1.97164,0.889714,9.67624,1.34121
54277,TRUE,10,50,2,5,1.97039,0.892953,12.4955,2.34901
27555,TRUE,10,50,2,5,1.96317,0.89096,9.98183,1.4051
29556,TRUE,10,50,2,5,1.95705,0.895491,8.85186,1.4621
48600,FALSE,10,50,0.2,1,0.315333,0.137438,1.02389,0.326881
18492,TRUE,10,50,2,5,1.96643,0.898893,9.39552,1.73573
